ID,Risk_Status,Profession,Age,Reg_ID,Reg_Year,Reg_Date,Withdraw,Letter_DDL,Priority,Name,Email,Phone,Birthday
1,3,7,6,0,2021,971,59,7379903,Jacob,Jacob_Chapman213379364@tonsy.org,5912609834,1
2,1,6,6,0,2021,970,-1,6679903,xxx,xxx,xxx,xxx
3,1,5,2,0,2021,970,-1,5279903,Mike,Mike_Butler1024096249@bretoux.com,7655366739,1
4,3,7,1,0,2021,970,-1,7179903,Leroy,Leroy_Wood144863776@yahoo.com,7372831590,1
5,1,2,4,0,2021,970,-1,2479903,Mike,Mike_Gardner564225137@zorer.org,7687080432,1
6,3,6,6,0,2021,970,-1,6679903,Daron,Daron_Blackwall1572391912@extex.org,5586539095,1
7,2,3,6,0,2021,970,-1,3679903,Tyler,Tyler_Reese1792481036@typill.biz,5601115728,1
8,1,7,2,0,2021,970,-1,7279903,Gabriel,Gabriel_Samuel604158720@brety.org,3063967415,1
9,3,3,6,0,2021,970,-1,3679903,Danny,Danny_Horton839880557@hourpy.biz,2852484425,1
10,3,5,4,0,2021,970,-1,5479903,Chuck,Chuck_Blythe1998383075@deons.tech,8547249494,1
11,2,6,3,0,2021,970,-1,6379903,Mason,Mason_Oakley390026747@infotech44.tech,5741260089,1
12,2,5,3,0,2021,970,23,5379903,Harvey,Harvey_Khan541058613@gmail.com,4034756907,1
13,2,6,6,0,2021,970,25,6679903,Gabriel,Gabriel_Wilson753433961@twipet.com,2725000997,1
14,2,2,4,0,2021,970,1,2479903,Carter,Carter_Brock74647931@gmail.com,7919199069,1
15,1,4,1,0,2021,970,8,4179903,Henry,Henry_Yang205609216@joiniaa.com,1731938588,1
16,2,2,3,0,2021,970,-1,2379903,Barney,Barney_Mullins1490452206@brety.org,5008830778,1
17,3,2,1,0,2021,970,-1,2179903,Joseph,Joseph_Walsh1066031384@vetan.org,8132972433,1
18,3,5,4,0,2021,970,-1,5479903,David,David_Appleton2028802577@atink.com,4978242652,1
19,3,3,1,0,2021,970,-1,3179903,Noah,Noah_Parker1087746900@famism.biz,9072884603,1
20,1,4,5,0,2021,970,-1,4579903,Chad,Chad_Knight1778589002@sveldo.biz,182132810,1
1,3,7,6,0,2021,971,59,7379903,Jacob,Jacob_Chapman213379364@tonsy.org,5912609834,1
1,3,7,6,0,2021,971,59,7379903,Jacob,Jacob_Chapman213379364@tonsy.org,5912609834,1
1,3,7,6,0,2021,971,59,7379903,Jacob,Jacob_Chapman213379364@tonsy.org,5912609834,1
1,3,7,6,0,2021,971,59,7379903,Jacob,Jacob_Chapman213379364@tonsy.org,5912609834,1
1,3,7,6,0,2021,971,59,7379903,Jacob,Jacob_Chapman213379364@tonsy.org,5912609834,1
2,1,6,6,0,2021,970,-1,6679903,xxx,xxx,xxx,xxx
2,1,6,6,0,2021,970,-1,6679903,xxx,xxx,xxx,xxx
2,1,6,6,0,2021,970,-1,6679903,xxx,xxx,xxx,xxx
2,1,6,6,0,2021,970,-1,6679903,xxx,xxx,xxx,xxx
