Risk,Profession,Age,DDL,Treatment,Name,Email,Phone,Birthday
3,1,3,-1,1,Jamie,Jamie_Tate5150@corti.com,5-806-601-2683,9/3/1850
2,1,4,-1,1,Enoch,Enoch_Saunders773@brety.org,7-175-553-3381,7/24/1053
1,3,5,-1,1,Aiden,Aiden_Exton8920@famism.biz,0-822-706-0827,10/9/6455
2,7,5,-1,1,Phillip,Phillip_Brooks9206@bretoux.com,3-203-782-7264,7/5/7285
0,0,1,-1,1,Luna,Luna_Shaw196@hourpy.biz,7-654-163-1088,4/4/5610
0,0,2,-1,1,Tyler,Tyler_Walton6958@elnee.tech,3-584-656-1214,6/16/0417
1,2,5,-1,1,Camden,Camden_Windsor2145@hourpy.biz,8-124-647-0021,2/4/5724
0,5,2,-1,1,Rosa,Rosa_Furnell7683@supunk.biz,2-816-122-3315,5/9/5333
1,4,6,-1,1,Benny,Benny_Lowe7196@cispeto.com,8-214-630-6382,1/11/8419
3,5,1,-1,1,Hank,Hank_Umney1424@infotech44.tech,2-442-167-0166,2/1/8353
0,7,0,-1,1,Anthony,Anthony_Russell5218@bretoux.com,5-207-802-0111,7/27/1496
0,1,4,-1,1,Nate,Nate_Mccall5540@eirey.tech,8-242-760-6016,8/12/9093
1,5,4,-1,1,Bob,Bob_Bradley1210@kideod.biz,3-326-888-5668,1/17/7305
0,4,1,-1,1,Chuck,Chuck_Scott9265@sveldo.biz,0-425-356-3007,1/17/3563
0,1,1,-1,1,Gina,Gina_Warner5541@eirey.tech,4-278-434-7425,5/4/4378
0,4,4,-1,1,Sasha,Sasha_Boyle9920@bulaffy.com,7-047-380-6881,12/22/0676
2,0,5,-1,1,Teagan,Teagan_Stevenson3538@qater.org,8-084-608-5271,8/1/3713
0,7,3,-1,1,Rebecca,Rebecca_Allen3361@ubusive.com,5-881-072-4667,2/13/3774
3,4,5,-1,1,Kaylee,Kaylee_Amstead8605@ovock.tech,6-205-755-7658,3/9/8435
2,5,4,-1,1,Lily,Lily_Clark5201@nickia.com,0-566-337-0084,12/24/7468
