Risk,Profession,Age,DDL,Treatment,Name,Email,Phone,Birthday
0,6,5,-1,1,Alexa,Alexa_Watt5228@deavo.com,5-426-048-8233,6/4/2296
2,5,2,-1,1,Adina,Adina_Owen5136@infotech44.tech,3-287-562-0545,12/25/7654
0,1,3,-1,1,Victoria,Victoria_Vinton9722@supunk.biz,5-125-810-5823,9/27/7717
0,2,4,-1,1,Javier,Javier_Emerson8858@iatim.tech,6-114-374-1352,6/30/4723
1,7,5,-1,1,Amelia,Amelia_Patel6863@famism.biz,7-840-542-0258,4/18/7955
2,1,2,-1,1,Jade,Jade_Addis1368@kideod.biz,2-201-630-4415,1/30/4729
1,1,1,-1,1,Bryce,Bryce_Wigley4251@hourpy.biz,7-562-761-8707,8/8/3393
2,3,2,-1,1,Matt,Matt_Harrison8052@bretoux.com,6-456-636-8723,6/3/0536
3,5,4,-1,1,Logan,Logan_Butler4895@jiman.org,6-223-057-1745,1/20/2538
1,7,3,-1,1,Ron,Ron_Russel3274@bauros.biz,6-473-046-4020,1/24/4534
1,2,1,-1,1,Vanessa,Vanessa_Ellwood5866@muall.tech,3-176-625-3845,1/31/4534
3,0,1,-1,1,Johnny,Johnny_Gordon3769@deons.tech,8-263-114-2820,10/1/9069
2,4,3,-1,1,Tess,Tess_Morris5957@fuliss.net,1-831-162-4676,10/24/4502
3,2,3,-1,1,Lara,Lara_Murphy6413@bauros.biz,1-416-263-3561,5/7/2136
3,4,0,-1,1,Lexi,Lexi_Addley1222@grannar.com,2-763-015-0258,8/31/7194
1,2,5,-1,1,Doug,Doug_Anderson8866@vetan.org,1-247-064-7353,3/11/4657
0,1,6,-1,1,Nathan,Nathan_Fields5704@bretoux.com,2-048-525-1801,6/26/7334
0,1,2,-1,1,Javier,Javier_Gonzales9458@elnee.tech,8-277-162-7625,11/13/9077
3,1,3,-1,1,Erick,Erick_Phillips9038@ubusive.com,1-402-041-4108,1/30/2544
3,2,0,-1,1,Tony,Tony_Campbell1884@womeona.net,8-108-285-2345,12/11/6917
