Risk,Profession,Age,DDL,Treatment,Name,Email,Phone,Birthday
2,1,1,-1,0,Farmer,Cedrick_Farmer3643@famism.biz,2-304-048-7344,9/15/7151
1,5,6,-1,0,Herbert,Bristol_Herbert2288@mafthy.com,7-182-013-3228,12/18/4833
3,2,1,-1,0,Stevens,Chelsea_Stevens3173@gompie.com,1-123-888-0135,4/11/8642
0,0,3,-1,0,Miller,Chris_Miller5596@grannar.com,4-647-005-4731,1/8/9228
1,6,2,-1,0,Ainsworth,Harmony_Ainsworth6409@jiman.org,4-808-803-6567,10/21/1448
3,1,0,-1,0,Pearson,Felicity_Pearson3109@famism.biz,5-183-142-2122,2/8/1080
3,3,2,-1,0,Jenkins,Bryon_Jenkins9377@nanoff.biz,7-210-136-6502,12/21/8263
1,4,0,-1,0,Dempsey,Jolene_Dempsey963@gembat.biz,5-221-407-2165,4/12/8022
2,4,3,-1,0,Middleton,Ron_Middleton5643@bulaffy.com,7-176-262-7183,3/31/8979
0,0,4,-1,0,Giles,Stephanie_Giles8165@liret.org,4-252-417-8632,10/27/3387
1,5,4,-1,0,Dixon,Natalie_Dixon5615@ovock.tech,3-862-013-0352,8/7/9941
0,3,1,-1,0,Redfern,Alexander_Redfern2653@famism.biz,0-287-144-2667,2/24/5135
3,1,6,-1,0,Archer,Stella_Archer2703@gmail.com,2-412-065-5661,5/23/8175
0,7,1,-1,0,Crawford,Josh_Crawford5923@cispeto.com,4-470-750-1854,7/12/6415
0,2,5,-1,0,Robinson,Britney_Robinson4172@twipet.com,2-058-671-3867,7/14/4808
2,0,6,-1,0,Vass,Mackenzie_Vass5592@bulaffy.com,6-237-070-3157,10/23/7780
1,0,4,-1,0,Fulton,Abdul_Fulton1189@irrepsy.com,5-612-271-0462,4/20/4883
2,3,2,-1,0,Dubois,Daniel_Dubois1095@kideod.biz,6-610-584-8182,3/15/3087
1,5,1,-1,0,Hooper,Noah_Hooper7661@sveldo.biz,6-500-376-6565,1/19/5413
0,2,2,-1,0,Cox,Tyler_Cox5099@hourpy.biz,2-070-675-7803,10/6/0020
