Risk,Profession,Age,DDL,Treatment,Name,Email,Phone,Birthday
0,0,1,-1,1,Hood,Jack_Hood9251@liret.org,5-313-570-3438,10/10/1657
3,6,6,-1,1,Rycroft,Kieth_Rycroft8069@twipet.com,0-248-430-6623,10/12/1522
0,2,1,-1,1,Jackson,Caydence_Jackson5467@deons.tech,4-110-427-5582,9/27/2690
1,2,3,-1,0,Styles,Nina_Styles1349@brety.org,5-030-708-3634,8/15/3327
1,5,4,-1,0,Mitchell,Gabriel_Mitchell6191@nanoff.biz,4-030-224-1034,3/7/4200
3,6,3,-1,2,James,Aiden_James7834@joiniaa.com,0-087-718-4314,11/5/7199
3,2,1,-1,2,Addison,Alexander_Addison4602@gompie.com,8-000-464-0288,7/21/1841
2,7,0,-1,2,Gavin,David_Gavin9334@infotech44.tech,5-802-288-1528,8/21/7341
2,3,2,-1,2,Roth,Matt_Roth1845@tonsy.org,8-325-761-7103,12/16/5219
0,6,4,-1,2,Pond,Owen_Pond7740@vetan.org,8-208-620-5773,12/23/8976
0,0,4,-1,2,Allen,Rufus_Allen23@joiniaa.com,5-041-313-2566,5/8/5155
0,6,5,-1,0,Sloan,Karen_Sloan7778@typill.biz,3-686-060-3262,3/15/6980
1,1,2,-1,0,Rogers,Liam_Rogers2301@qater.org,8-786-715-6267,11/19/6728
2,2,1,-1,0,Morgan,Makena_Morgan9734@eirey.tech,5-036-582-4406,1/29/2083
0,4,3,-1,0,Wade,Michelle_Wade4061@sheye.org,7-422-528-5760,8/4/7227
1,2,1,-1,0,Kelly,Angelique_Kelly1403@eirey.tech,6-073-871-1557,4/14/1035
0,1,2,-1,1,Quinn,Maria_Quinn4775@tonsy.org,3-166-327-7204,8/8/6277
2,7,0,-1,1,Lindsay,Robyn_Lindsay6825@corti.com,3-806-618-7568,2/8/8129
3,0,5,-1,1,Woods,Vanessa_Woods8501@iatim.tech,5-333-731-3412,1/30/4241
0,5,0,-1,1,Gardner,Drew_Gardner8567@famism.biz,1-510-200-1031,8/20/3247
