Risk,Profession,Age,DDL,Treatment,Name,Email,Phone,Birthday
3,5,6,-1,1,Adams,Alexander_Adams8131@ovock.tech,6-020-601-5642,6/9/7045
1,2,3,-1,1,Carpenter,Michelle_Carpenter5514@elnee.tech,4-466-018-4727,2/20/2158
2,7,1,-1,1,Eddison,Denis_Eddison311@jiman.org,7-578-367-2484,3/27/2166
2,6,5,-1,1,Vallory,Rick_Vallory5594@brety.org,1-641-216-6347,7/3/3797
1,4,5,-1,1,Yard,Thea_Yard4490@gembat.biz,2-668-885-1007,9/14/6097
0,6,5,-1,1,Fleming,Brad_Fleming1524@nickia.com,5-651-765-1227,2/24/6019
3,5,2,-1,1,Rainford,Bob_Rainford9494@typill.biz,5-463-155-0403,2/3/3279
2,5,2,-1,1,Savage,Denny_Savage9261@irrepsy.com,0-388-874-0674,8/20/4067
2,6,0,-1,1,Wheeler,Nina_Wheeler648@irrepsy.com,2-864-288-2412,3/23/8397
2,2,4,-1,1,Callan,Tom_Callan4128@twipet.com,6-520-251-6236,4/10/0583
3,1,6,-1,1,Mcgee,Penelope_Mcgee8917@dionrab.com,6-360-644-3446,2/7/5734
0,4,3,-1,1,Hood,Zoe_Hood5757@womeona.net,4-766-052-5622,8/2/8942
3,2,3,-1,1,Tobin,Alessandra_Tobin1166@zorer.org,2-064-441-6715,5/4/9212
0,0,5,-1,1,Scott,Rhea_Scott9108@famism.biz,5-644-481-1683,5/31/0575
0,5,0,-1,1,Hogg,Zoe_Hogg1158@fuliss.net,0-642-462-1058,9/11/8110
3,3,1,-1,1,Zaoui,Barry_Zaoui9154@bretoux.com,0-528-015-4543,8/28/7528
2,1,6,-1,1,Jarrett,Alessandra_Jarrett1411@kideod.biz,3-170-724-8712,10/2/8635
0,2,1,-1,1,Everett,Nick_Everett3509@famism.biz,6-112-253-6474,5/29/7904
3,4,6,-1,1,Wright,Candace_Wright5406@supunk.biz,0-825-042-8762,9/18/6558
3,4,2,-1,1,Sherwood,Lucas_Sherwood6853@kideod.biz,6-766-483-7562,8/24/2758
