Risk,Profession,Age,DDL,Treatment,Name,Email,Phone,Birthday
3,3,2,-1,2,Abbey,Hayden_Abbey3955@guentu.biz,8-887-018-4484,5/8/2256
1,7,1,-1,2,Rowlands,Rick_Rowlands7661@ovock.tech,6-707-505-6346,2/10/9406
3,2,5,-1,2,Collis,Jayden_Collis2032@kideod.biz,2-046-517-3180,6/28/1759
1,6,5,-1,2,Whitmore,Hank_Whitmore9101@twace.org,6-337-616-4554,4/19/5715
2,3,5,-1,2,Rainford,Anthony_Rainford7643@iatim.tech,3-223-346-1138,11/17/2416
1,5,3,-1,2,Price,Parker_Price9533@gmail.com,6-683-338-7573,6/23/4402
3,3,3,-1,2,Hamilton,Clarissa_Hamilton3970@muall.tech,7-614-320-1385,8/16/7559
1,0,4,-1,2,Spencer,Kenzie_Spencer2124@infotech44.tech,5-341-762-8224,9/30/6118
3,1,0,-1,2,Aldridge,Sasha_Aldridge5025@iatim.tech,6-678-138-6528,10/8/9864
2,5,3,-1,2,Veale,Tony_Veale4847@guentu.biz,6-214-032-3884,6/20/0787
1,6,0,-1,2,Speed,Lucas_Speed5595@guentu.biz,8-318-727-4282,11/10/8701
3,4,0,-1,2,Mcgregor,Alan_Mcgregor6922@jiman.org,8-588-042-2624,8/17/6466
0,7,5,-1,2,Flack,Josh_Flack6042@typill.biz,2-700-364-6680,7/11/1703
2,7,0,-1,2,Owen,Helen_Owen688@mafthy.com,8-373-361-0015,12/31/2438
3,6,6,-1,2,Cann,Nathan_Cann4146@nanoff.biz,4-031-657-3640,2/11/0055
3,7,1,-1,2,Lee,Dorothy_Lee2930@bretoux.com,0-011-072-5858,9/25/3681
1,2,3,-1,2,Emmott,Melania_Emmott1572@muall.tech,5-732-228-2601,12/11/7246
0,3,0,-1,2,Farrant,Mabel_Farrant7478@deavo.com,6-778-620-0845,8/1/1950
2,4,4,-1,2,Wooldridge,Scarlett_Wooldridge8840@nimogy.biz,8-577-773-6065,5/30/4420
0,0,5,-1,2,Michael,Cecilia_Michael4748@sveldo.biz,0-355-246-1818,5/12/1659
