Risk,Profession,Age,DDL,Treatment,Name,Email,Phone,Birthday
3,2,5,-1,0,Vass,Melody_Vass5775@nimogy.biz,2-408-108-6544,4/24/7520
3,4,0,-1,0,Notman,Hannah_Notman4117@mafthy.com,1-021-578-4503,11/25/8028
2,6,6,-1,0,Verdon,Clint_Verdon6329@bauros.biz,2-355-378-3046,2/24/1031
2,0,1,-1,0,Garcia,Javier_Garcia3417@acrit.org,1-528-014-6347,1/19/2240
0,0,5,-1,0,Dallas,Harmony_Dallas6789@naiker.biz,5-068-380-1013,10/9/7675
3,0,4,-1,0,Yarwood,Josh_Yarwood4956@nanoff.biz,8-356-373-8832,2/21/9344
1,6,1,-1,0,Yarlett,Anais_Yarlett1952@deons.tech,6-757-548-7540,3/26/9756
3,3,5,-1,0,Kennedy,Taylor_Kennedy4218@kideod.biz,6-160-631-5148,1/6/5925
2,3,2,-1,0,Allen,Denny_Allen2173@twace.org,0-835-403-2311,11/11/3895
1,3,5,-1,0,Robinson,David_Robinson527@gembat.biz,0-352-038-3850,8/5/7482
0,5,1,-1,0,Rycroft,Wendy_Rycroft6997@nickia.com,3-151-536-8815,9/8/0715
0,6,3,-1,0,May,Jennifer_May1473@hourpy.biz,1-556-887-0687,7/23/8836
3,0,6,-1,0,Lunt,Barney_Lunt7232@sveldo.biz,3-174-547-0078,4/13/9038
1,4,2,-1,0,Kelly,Nathan_Kelly1498@supunk.biz,0-826-427-1843,8/26/7163
0,6,6,-1,0,Vincent,Liam_Vincent6769@guentu.biz,0-853-627-8044,4/13/6532
3,6,6,-1,0,Andrews,Janice_Andrews7737@extex.org,0-124-414-1236,11/15/5240
2,3,4,-1,0,Rowe,Alexander_Rowe9349@infotech44.tech,1-011-822-6153,12/1/5245
3,2,2,-1,0,Ebbs,Gil_Ebbs1177@kideod.biz,3-261-511-1232,8/15/4205
0,7,2,-1,0,Rowlands,Michaela_Rowlands6889@gembat.biz,8-665-314-1866,1/30/5906
1,1,1,-1,0,Truscott,Moira_Truscott9758@vetan.org,8-464-603-4542,2/16/9473
