Risk,Profession,Age,DDL,Treatment,Name,Email,Phone,Birthday
3,4,3,-1,0,Stewart,Georgia_Stewart6265@typill.biz,1-034-327-4808,2/13/8251
0,7,0,-1,0,Rycroft,Christine_Rycroft597@qater.org,7-671-620-5686,8/13/3144
2,3,5,-1,0,Snow,Peter_Snow8519@supunk.biz,7-714-513-7856,2/19/6596
3,2,0,-1,0,Moore,Chadwick_Moore6766@muall.tech,4-488-525-3742,12/6/8182
2,7,2,-1,0,Gonzales,Georgia_Gonzales1843@zorer.org,5-177-305-4148,9/11/0400
3,2,5,-1,0,Knott,Kieth_Knott5001@ubusive.com,2-428-027-7313,4/13/4689
3,5,4,-1,0,Harris,Ronald_Harris4601@deons.tech,6-544-724-5544,5/22/8353
2,0,4,-1,0,Gates,Julian_Gates2401@nanoff.biz,3-005-385-2011,11/29/4040
2,6,5,-1,0,Johnson,Kenzie_Johnson9641@liret.org,2-585-240-8331,5/30/8475
3,1,5,-1,0,Ellwood,Maddison_Ellwood2420@liret.org,0-531-828-1073,12/16/7122
0,1,0,-1,0,Dyson,Elena_Dyson8891@naiker.biz,5-008-327-1365,4/21/7150
1,7,5,-1,0,Gaynor,Chris_Gaynor7982@bungar.biz,2-151-078-8655,8/19/8433
0,1,2,-1,0,Keys,Jayden_Keys5209@liret.org,1-883-342-1216,3/10/2208
3,5,0,-1,0,Rothwell,Wade_Rothwell9825@joiniaa.com,1-032-145-8530,5/4/1845
1,3,4,-1,0,Ainsworth,Rae_Ainsworth517@elnee.tech,1-646-208-8852,8/24/3378
2,6,4,-1,0,Morgan,Irene_Morgan6394@gembat.biz,0-728-501-4881,8/13/4465
1,0,1,-1,0,Clarke,Fiona_Clarke863@tonsy.org,3-734-067-2025,7/27/4802
1,5,2,-1,0,Tait,Clint_Tait6486@nickia.com,0-884-528-7604,9/22/7864
0,7,2,-1,0,Isaac,Bristol_Isaac8716@gmail.com,7-385-782-8163,3/14/0532
1,5,5,-1,0,Saunders,Clint_Saunders2430@naiker.biz,1-000-173-7056,6/17/2356
