Risk,Profession,Age,DDL,Treatment,Name,Email,Phone,Birthday
0,5,0,-1,1,Noach,Carl_Noach9819@womeona.net,0-777-653-5005,3/5/5372
2,2,1,-1,1,London,Nicholas_London8669@yahoo.com,5-426-841-0888,5/19/4818
2,3,2,-1,1,Campbell,Taylor_Campbell2604@dionrab.com,2-826-854-6862,11/1/2431
3,4,4,-1,1,Cassidy,Jackeline_Cassidy6276@ovock.tech,4-165-868-1213,4/11/9627
1,2,3,-1,1,Gilmore,Liliana_Gilmore6283@zorer.org,6-824-650-3222,9/30/6814
3,0,0,-1,1,Hope,Mayleen_Hope2263@twipet.com,4-316-285-7587,7/24/9917
0,7,4,-1,1,Ellis,Russel_Ellis3443@grannar.com,3-372-534-0680,7/21/3442
2,2,0,-1,2,Moore,Paula_Moore6607@cispeto.com,5-413-028-0052,4/15/9172
1,6,2,-1,2,Whittle,Tyler_Whittle755@nickia.com,7-228-334-5625,4/20/1509
0,0,1,-1,2,Hewitt,Shay_Hewitt1543@supunk.biz,1-851-411-5344,3/28/7884
0,5,1,-1,2,Flynn,David_Flynn285@tonsy.org,7-741-715-6187,12/30/4524
0,0,5,-1,2,Aldridge,Hank_Aldridge5459@extex.org,3-562-026-0733,7/12/6765
3,6,4,-1,2,Snow,Valerie_Snow9356@sheye.org,6-575-234-6247,8/21/2104
0,6,4,-1,2,Grady,Freya_Grady8916@famism.biz,1-567-456-2585,8/17/4259
3,5,2,-1,2,Everett,Rose_Everett6911@vetan.org,1-663-557-3674,12/28/6971
2,4,4,-1,0,Button,Sebastian_Button5029@nanoff.biz,0-042-867-5815,9/15/7544
0,2,5,-1,0,Mason,Ronald_Mason8590@gembat.biz,4-545-018-8253,6/13/5282
3,7,5,-1,0,Murray,Jasmine_Murray9146@elnee.tech,8-423-485-0227,2/17/3683
0,5,3,-1,0,Lunt,Roger_Lunt9076@deavo.com,8-656-231-1606,5/31/5138
3,2,2,-1,0,Groves,Ramon_Groves7634@naiker.biz,2-022-854-7554,1/14/7725
