Risk,Profession,Age,DDL,Treatment,Name,Email,Phone,Birthday
0,1,5,-1,2,Hopkinson,Danielle_Hopkinson360@extex.org,3-412-373-6716,8/3/9051
1,0,4,-1,2,Hilton,Chester_Hilton7698@mafthy.com,8-067-232-2208,11/16/2569
0,7,0,-1,2,Crawley,Kurt_Crawley3569@liret.org,7-013-020-2643,4/23/3275
3,4,4,-1,2,Mould,Tony_Mould7627@elnee.tech,5-058-173-0640,3/23/1693
3,5,3,-1,2,Bristow,Kenzie_Bristow5309@womeona.net,5-506-173-6366,4/1/0052
0,2,4,-1,2,West,Sebastian_West1571@deons.tech,2-651-546-4413,8/30/4781
0,2,5,-1,2,Webster,Hadley_Webster3391@deavo.com,5-513-408-2483,1/22/4866
3,2,3,-1,2,Waterhouse,Margaret_Waterhouse1316@gompie.com,3-722-350-1275,2/5/9957
0,0,6,-1,2,Willson,Alessia_Willson5041@famism.biz,1-846-677-8450,3/3/7197
3,2,1,-1,2,Marshall,Percy_Marshall5647@vetan.org,3-037-522-8220,11/10/4780
3,5,3,-1,2,Gray,Crystal_Gray7773@elnee.tech,1-188-204-0383,4/13/6511
0,0,2,-1,2,Knight,Ivette_Knight6948@iatim.tech,7-547-572-1286,5/13/4740
3,7,0,-1,2,Wooldridge,Mike_Wooldridge9971@guentu.biz,3-242-736-6421,12/6/6327
2,1,2,-1,2,Warner,Clarissa_Warner9094@zorer.org,4-156-246-0654,4/1/2851
0,0,0,-1,2,Little,Priscilla_Little7292@atink.com,3-447-334-4367,1/28/6313
2,0,6,-1,2,Gilmour,Barry_Gilmour3211@brety.org,6-433-785-4343,2/16/7920
0,7,6,-1,2,Johnson,Mike_Johnson1737@jiman.org,5-831-070-1170,9/7/8971
0,2,1,-1,2,Shaw,Carrie_Shaw902@brety.org,3-671-265-8216,11/22/8321
1,1,4,-1,2,Whatson,Abdul_Whatson2036@yahoo.com,2-347-585-0856,11/20/2960
0,1,4,-1,2,Thornton,Liam_Thornton8545@vetan.org,7-574-888-5467,4/6/9015
