Risk,Profession,Age,DDL,Treatment,Name,Email,Phone,Birthday
0,5,4,-1,2,Warner,Christine_Warner5022@guentu.biz,1-518-283-2716,8/3/8339
3,6,4,-1,2,Richardson,Tony_Richardson271@typill.biz,5-344-681-7564,3/2/4428
2,1,6,-1,2,Allen,Rhea_Allen2076@corti.com,1-555-607-8522,4/27/8401
0,7,1,-1,2,Cunningham,Sofie_Cunningham1602@ovock.tech,8-078-242-5103,5/15/1132
3,4,6,-1,2,Speed,Anthony_Speed1795@typill.biz,5-845-702-0365,9/2/7324
0,5,4,-1,2,Poole,Sadie_Poole6556@irrepsy.com,8-626-253-0702,2/13/3493
2,3,4,-1,2,Grey,Daron_Grey4099@infotech44.tech,7-647-273-1206,1/18/1131
1,4,6,-1,2,Stanley,Paige_Stanley1912@jiman.org,8-350-605-5227,12/1/5247
2,1,0,-1,2,Farmer,Martin_Farmer4095@deons.tech,5-822-322-3527,3/12/8862
2,0,5,-1,2,Bell,Barry_Bell7268@bauros.biz,8-734-232-3043,7/7/8269
3,3,6,-1,2,Powell,Harvey_Powell8645@acrit.org,7-738-782-3153,2/19/6108
0,4,5,-1,2,Waterson,Scarlett_Waterson5118@liret.org,8-742-280-0806,9/2/4182
0,7,4,-1,2,Reid,Luna_Reid967@sveldo.biz,2-661-824-2318,1/11/9771
2,2,4,-1,2,Butler,Julian_Butler2206@brety.org,8-638-833-3630,12/4/4978
2,3,0,-1,2,Dyson,George_Dyson7274@liret.org,7-354-828-5401,4/15/2211
2,4,1,-1,2,Windsor,Julius_Windsor1039@iatim.tech,1-816-533-3011,1/4/5520
2,3,6,-1,2,Davies,Noah_Davies8982@sveldo.biz,0-016-262-0203,2/9/9662
2,6,1,-1,2,Mcgregor,Mavis_Mcgregor2645@bungar.biz,0-645-688-2005,7/9/5810
3,0,2,-1,2,Dillon,Scarlett_Dillon3983@acrit.org,4-747-626-3715,4/17/5520
0,0,6,-1,2,Donnelly,Penny_Donnelly9954@guentu.biz,6-862-444-4300,5/28/9402
