Risk,Profession,Age,DDL,Treatment,Name,Email,Phone,Birthday
1,7,5,-1,2,Newton,Leslie_Newton6126@mafthy.com,4-861-308-2388,2/7/4750
0,7,4,-1,2,Oldfield,Mandy_Oldfield5903@liret.org,6-886-541-7256,5/21/3387
0,0,6,-1,2,Mccormick,Benjamin_Mccormick6458@infotech44.tech,6-253-272-6243,3/2/3940
3,0,1,-1,2,Dixon,Chuck_Dixon1119@extex.org,4-051-666-1208,7/26/3140
1,0,0,-1,2,Greenwood,Nancy_Greenwood4909@bulaffy.com,3-004-362-6157,10/19/2352
3,2,0,-1,2,Reynolds,Callie_Reynolds673@famism.biz,4-756-823-5466,8/4/6957
3,2,1,-1,2,Archer,Aisha_Archer2764@atink.com,0-403-735-0088,10/29/5465
1,2,4,-1,2,Hobbs,John_Hobbs8647@cispeto.com,4-428-171-1435,5/19/4916
0,5,4,-1,2,Tobin,Celina_Tobin4442@twipet.com,4-286-576-7547,8/20/3679
3,6,6,-1,2,Dempsey,Quinn_Dempsey6525@acrit.org,4-527-511-3004,11/30/9244
2,6,6,-1,2,Terry,Bryon_Terry196@joiniaa.com,6-475-164-2551,10/31/0697
1,3,2,-1,2,Boden,Chuck_Boden1846@elnee.tech,2-288-382-1470,5/2/0220
2,1,2,-1,2,Phillips,Juliette_Phillips794@naiker.biz,5-435-081-6332,12/19/8739
1,7,3,-1,2,Faulkner,Celina_Faulkner1461@brety.org,3-840-571-6212,4/17/9132
2,2,4,-1,2,Nanton,Katelyn_Nanton5379@deons.tech,3-503-838-4252,7/22/0348
1,4,4,-1,2,Yard,Anthony_Yard1255@nimogy.biz,6-805-423-0445,6/26/0309
1,6,4,-1,2,Thornton,Chester_Thornton2676@cispeto.com,1-056-588-3436,5/24/0459
0,1,4,-1,2,Randall,Gil_Randall8713@vetan.org,6-622-323-5543,8/24/4673
2,2,3,-1,2,Parker,Mike_Parker4889@infotech44.tech,8-461-538-1180,7/6/8838
0,1,2,-1,2,Foxley,Nick_Foxley3817@womeona.net,6-032-445-8233,1/15/8045
