Risk,Profession,Age,DDL,Treatment,Name,Email,Phone,Birthday
1,3,4,-1,0,Wise,Bart_Wise5693@vetan.org,6-356-883-0872,11/2/5758
3,2,6,-1,0,Stanley,Penny_Stanley6866@irrepsy.com,5-636-484-6326,2/24/6160
3,3,4,-1,0,Avery,Peter_Avery888@womeona.net,3-024-108-3610,5/6/2152
1,4,1,-1,0,Edler,Jacob_Edler8294@jiman.org,7-452-621-1583,7/12/4387
1,1,6,-1,0,Stanley,John_Stanley8978@liret.org,7-517-222-0105,4/21/6908
0,7,3,-1,0,Parr,Aurelia_Parr3174@eirey.tech,0-840-325-4533,2/26/1434
2,2,1,-1,0,Ashley,Manuel_Ashley7841@vetan.org,5-456-628-6286,7/6/2538
1,0,0,-1,0,Coates,Kaylee_Coates2865@nimogy.biz,8-188-767-1174,10/6/9053
1,5,5,-1,0,Andrews,Julius_Andrews6039@acrit.org,6-212-663-0277,4/3/5599
0,4,0,-1,0,Tindall,Adelaide_Tindall3006@gompie.com,2-755-601-2552,6/12/6073
2,3,4,-1,0,Mccall,Leroy_Mccall8972@gmail.com,6-228-564-0858,1/2/9320
2,4,6,-1,0,Gordon,Ciara_Gordon233@supunk.biz,1-533-044-0828,10/15/4115
0,1,4,-1,0,Lee,Ruby_Lee3653@qater.org,0-404-214-3277,11/13/0468
0,7,0,-1,0,Alexander,Lindsay_Alexander3634@mafthy.com,8-165-506-6142,10/19/5624
2,4,1,-1,0,Yoman,Willow_Yoman5122@bungar.biz,2-176-440-1045,1/29/1241
0,0,5,-1,0,Thomas,Chelsea_Thomas251@dionrab.com,1-111-632-2563,1/12/4510
1,0,3,-1,0,Richards,Selena_Richards3220@naiker.biz,7-881-660-7174,6/16/2693
0,2,3,-1,0,Marshall,Jayden_Marshall182@extex.org,8-147-806-4733,11/8/7926
2,4,1,-1,0,Marshall,Tom_Marshall3127@corti.com,5-660-152-4882,11/12/6331
0,0,2,-1,0,Lomax,Martin_Lomax3331@tonsy.org,7-408-054-8781,2/29/2576
