Risk,Profession,Age,DDL,Treatment,Name,Email,Phone,Birthday
3,2,2,-1,0,Wright,Rose_Wright2850@bauros.biz,5-380-677-7367,11/11/6909
0,4,2,-1,0,Vass,Christy_Vass378@twipet.com,8-058-675-7378,3/17/2427
0,0,0,-1,0,Watson,Shelby_Watson8910@tonsy.org,6-171-105-0360,7/28/5937
0,7,2,-1,0,Cork,Faith_Cork7517@atink.com,7-501-452-2132,2/1/5600
0,7,6,-1,0,Verdon,Bart_Verdon5483@bretoux.com,8-430-324-2362,9/27/5902
1,6,2,-1,0,Noon,Cassidy_Noon6071@vetan.org,3-836-400-7071,11/16/0149
3,7,0,-1,0,Norman,Ember_Norman4180@bauros.biz,3-012-556-3866,4/24/4318
2,3,3,-1,0,Morrow,Meredith_Morrow6092@jiman.org,0-306-333-3563,4/29/4407
0,6,0,-1,2,Palmer,Chadwick_Palmer1131@deons.tech,1-756-424-7481,4/22/2135
1,2,5,-1,2,Ashley,Nicholas_Ashley4483@bauros.biz,2-104-317-5284,11/1/5850
0,4,6,-1,2,Adler,Doug_Adler8734@sveldo.biz,6-501-486-7384,4/4/3649
0,4,6,-1,2,Rogers,Chad_Rogers8432@muall.tech,4-487-340-2286,9/27/8299
1,4,1,-1,2,Graves,Aiden_Graves662@liret.org,0-570-025-2645,11/28/9664
3,1,0,-1,1,Tennant,Oliver_Tennant2235@cispeto.com,3-428-103-8466,7/5/7036
1,3,0,-1,1,Exton,Ethan_Exton3979@gmail.com,0-380-368-4326,12/30/5725
0,5,3,-1,1,Johnson,Rocco_Johnson2029@qater.org,8-187-454-2087,7/27/8391
2,1,1,-1,1,Ainsworth,Carmella_Ainsworth9445@muall.tech,3-352-612-2111,2/24/1979
3,3,3,-1,1,Whatson,Harmony_Whatson6081@brety.org,0-648-475-2234,12/5/1067
2,4,4,-1,1,Drake,Luke_Drake9695@womeona.net,2-357-177-0772,1/9/9365
2,7,6,-1,1,Thorne,Kirsten_Thorne8369@womeona.net,8-432-555-5785,5/18/1138
